"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
203,"تامتۊمازه","تامتۊمازه نيشته بۊ","بى سر و صدا","بى سر و صدا نشسته بود","Without Any Noise","He/She was sitting without any noise"
204,"تان","کاسپي دريا تان همه-جۊر مائي دره","عمق","در عمق دریاى کاسپین همه‌نوع ماهى وجود دارد","Depth","In the depth of Caspian sea, there are all kind of fishes"
205,"تاوده","آشخالانأ تاوده اۊرأ","پرتاب می‌کند","زباله‌ها را به آن طرف پرتاب می‌کند","He/She Throws","He/She throws the garbages over there"
206,"تترج","هأتؤ تترج بنه","پشت سر هم","همین‌طور پشت سر هم بگذار","In a Row","Put it in a row"
207,"تجرۊبه","مي تجرۊبه گه أ کار آخرپس نأره","تجربه","تجربه من مى‌گوید این کار نتیجه ندارد","Experience","My experience says this doesn't work"
208,"ترˇ راکه","ترˇ راکه مرأ دکفته أمي دۊمبال","شاخه نازک","با شاخه نازک ما را دنبال کرد","Thin Branch","He/She followed us with a thin branch"
209,"ترˇ چسب","ترˇ چسب بۊشۊ","فرز","فرز برو","Quickly","Go quickly"
210,"ترسانه","تي گبان أمرأ ترسانه","می‌ترساند","حرف‌هایت ما را مى‌ترساند","Scare","Your words scare us"
211,"ترکمه","أ زأى چقد ترکمه-يه؟","حرف نشنو","این بچه چه‌قدر حرف نشنو است؟","Disobedient","How is this kid so disobedient?"
212,"تس","أنقد بۊخۊرده تسأ بؤسته","ولو شدن بعد از پرخورى","آن‌قدر خورده ولو شده است","Relaxing After Eating","He/She is relaxed after eating to much"
213,"تسکˇ ديل","بۊشؤم مي مأرˇ خبرأگير تسکˇ ديل بۊ","دلتنگ","رفتم احوال مادرم را بپرسم دلتنگ بود","Missing","I went to visit my mother she was missing me"
214,"تشت","تشتأ اۊسان بأور","ظرف مسی (با لبه بلند)","ظرف مسی را بردار بیاور","Copper Dish (High Sided)","Take that copper dish and bring it"
215,"تشتا","مرأ تشتايه","تشنه","تشنه هستم","Thirsty","I'm thirsty"
216,"تفاق دکفته","منم نأنم چي تفاق دکفته دأره","اتفاق افتاده","من هم نمى‌دانم چه اتفاقى افتاده است","Happened","I don't know what happened either"
217,"تفتک","أ تفتک دۊمرتبه بامؤ","مزاحم","این مزاحم دوباره آمد","Annoying Person","This annoying person came again"
218,"تنگام","داوۊدأ ترسأ گيره أ تنگامˇ کۊچهˈنأ دٚواره","تنگ و تاریک","داوود مى‌ترسد از این کوچه‌هاى تنگ و تاریک عبور کند","Narrow And Dark","Davood scares to pass these narrow and dark alleys"
219,"ته ره","أ پرهنأ ته ره بيهين","براى خودت","این پیراهن را براى خودت بخر","For Yourself","Buy this shirt for yourself"
220,"تهب بسر","أمي أمبارأ جنس دره تهب بسر","لبالب","انبار ما از جنس لبالب است","Full","Our warehouse is full of items"
221,"تي","أن تي کاره؟","تو","این کار تو است؟","Your","It it your job?"
222,"تي","من تي مرأ أيم","تو","من با تو مى‌آیم","You (Singular)","I'll come with you"
223,"تيان","بۊشۊ تيانأ بأور","دیگ","برو دیگ را بیاور","Pot","Go bring the pot"
224,"تيتالي","زاکانˇ تيتالي ره کيتاب بخأنيد","سرگرمى","براى سرگرم کردن بچه‌ها کتاب بخوانید","Entertain","Read books to entertain kids"
225,"تيج","أ چاقۊ تيج ني-يه","تیز","این چاقو تیز نیست","Sharp","This knife is not sharp"
226,"تيري پيري","مي چۊمان تيري پيري شه","سیاهی","چشم‌هایم سیاهى مى‌رود","Dark","My eyes go dark"
227,"تيريج مائي","تيريج مائي کأسپي دریا مئن زيويسته","ازون‌برون","ازون‌برون در دریای کاسپین زندگی می‌کند","Starry Sturgeon Fish","Starry sturgeon fish lives in the Caspian sea"
228,"تينتير","هأی مه ره تينتير أمؤئي","عشوه","مدام برایم عشوه می‌آمد","Coquetting","He/she was constantly coquetting with me"
229,"تي‌تي","سئب دار تي‌تي بۊکۊده","شکوفه","درخت سیب شکوفه کرده است","Blossom","The apple tree has blossome"
230,"تٚلٚس","مي چۊم تلس بۊکۊد","ورم","چشمم ورم کرد","Swollen","My eye is swollen"
231,"تٚمٚش","تٚمٚش مي دسأ جيجا کۊنه","خار","خار دستم را زخمى مى‌کند","Thorn","Thorn wounds my hand"
232,"تک","بزه مي تکأ","پهلو","به پهلویم زد","Rib","He/she hit my rib"
233,"تک دٚوٚد","حسن تک دٚوٚده","خالى‌بند","حسن خالى‌بند است","Bluff","Hassan is a bluff"
234,"تکام","هأچين تي سرأ تکام دأن نوأ","تکان","بیخودى سرت را تکان نده","Shake","Don't shake your head for nothing"
235,"تۊر","پاک تۊرأ بؤسته دأره","دیوانه","به کلی دیوانه شده است","Mad","He/She is gone totally mad"
236,"تۊرتۊره","پارچهˈ همهˈ تۊرتۊره ٰ کۊد","پاره پاره","تمام پارچه را پاره‌پاره کرد","Tore Into Pieces","He/She tore all the clothes into pieces"
237,"تۊشک","خۊلي تۊشکأ فيشان","هسته","هسته آلوچه را دور بریز","Seed","Throw away the greengage's seed"
238,"تۊشکه","أ تۊشکه وا نيبه","گره","این گره باز نمی‌شود","Knot","This knot doesn't untie"
239,"تۊقا","من گيلانˇ تۊقايم","عاشق","من عاشق گیلان هستم","Fond","I'm fond of Gilan"
240,"تۊمان","مي تۊمان کؤیا نهأ؟","شلوار","شلوار من کجاست؟","Pants","Where are my pants?"
241,"تۊمان","فئلم تۊمانأ بؤسته؟","تمام","فیلم تمام شده است؟","Over","Is the movie over?"
242,"تۊند","پۊر تۊند بۊ","بداخلاق","خیلى بداخلاق بود","Bad Tempered","He/She was very bad tempered"
243,"تۊند","تۊند بيأ","سریع","سریع بیأ","Quickly","Come quickly"
244,"تۊنداتۊند","تۊنداتۊند بۊشؤ","با شتاب","با شتاب رفت","Hastily","He/She went hastily"
245,"تۊنگۊله","ايتأ تۊنگۊله بزن","ضربه با سر انگشتان","با سر انگشت یک ضربه بزن","Flick","Flick with your finger"
246,"تۊک","کيشکائانأ دۊمبالأ کۊني أشانˇ مأر ترأ تۊک گيره","نوک","جوجه‌ها را دنبال کنى مادرشان تو را نوک مى‌گیرد","Peck","When you following chickens their mother will peck you"
247,"تۊک","تي تۊک خۊن أمؤن دره","لب","لب‌ات دارد خون می‌آید","Lip","Your lip is bleeding"
248,"تۊکاپره","سجاد ؤ أکبر تۊکاپرهˈ ديبيد","جر و بحث","فرزاد و احمد جر و بحث مى‌کردند","Argue","Farzad and Ahmad were arguing"
249,"تۊکه","آب تۊکه کۊنه","چکه","آب چکه مى‌کند","Drip","Water is dripping"
250,"تۊکه","ايتأ تۊکه آب مرأ فأدن","اندک","یک کم آب به من بده","Little Bit","Give me a little bit of water"
251,"جأ","نادرˇ جأ فگيفتم","از","از نادر گرفتم","From","I got it from Nader"
252,"جأ","کي جأ بامؤ دأري؟","از جانب","از جانب چه کسى آمده‌اى؟","From Who","Who did you come from?"
253,"جأ","تۊ لیلا جأ بيأ","به جاى","تو به جاى لیلا بیا","Instead Of","You come instead of Leila"
254,"جؤر","تي وسيلهٰن کابينتˇ جؤر نهأ","بالا","وسایل‌ات بالاى کابینت است","Top","Your stuff are on top of the cabinet"
255,"جابجا","تا أنأ بۊگؤفتيم، جابجا بۊشؤ","سریع","تا به او گفتیم، سریع رفت","So Fast","When we told him/her, he/she left so fast"
256,"جابه","پرتخالانأ ديچين جابه دۊرۊن","جعبه","پرتقال‌ها را داخل جعبه بچین","Box","Arrange the oranges in the box"
257,"جاجيگا","گيلان تالش ؤ گيلکˇ جاجيگايه","جایگاه","گیلان جایگاه گیلک و تالش است","Place","Gilan is Gilak and Talish's place"
258,"جخترأ دأ","هرچي أنأ بۊگؤفته-بۊمأ جخترأ دأ","فراموش کرد","هر چه به او گفته بودم را فراموش کرد","He/She Forgot","He/She forgot whatever I told him/her"
259,"جرگه","أمي جرگه سي تا آدم-نفر دأره","گروه","گروه ما سى نفر عضو دارد","Group","Our group has thirty members"
260,"جزنه","کرأ خؤرأ جزنه أمي جرگه دۊرۊن","جا می‌کند","دارد خودش را درون گروه ما جا مى‌کند","Incorporate","He/She incorporating himself/herself in our group"
261,"جغله","مي جغله هف ما دأره","نوزاد","نوزاد من هفت ماه‌اش است","Baby","My baby is seven months old"
262,"جندره","اۊ زناى کيسه أمرأ جندره؟","با خشم نگاه می‌کند","آن زن کیست دارد با خشم به ما نگاه مى‌کند؟","Looking With Anger","Who is that woman looking at us with anger?"
263,"جنگستن دريم","شباندˇ رۊز کرأ جنگستن دريم","داریم می‌جنگیم","شب و روز در حال جنگیدن هستیم","We Are Fighting","We're fighting night and day"
264,"جه غرز","جه غرز نيما همه بأئيد بۊدۊرۊن","به غیر از","به غیر از نیما همه داخل شوید","Except","Everyone come inside except Nima"
265,"جه مأر بأورده","أشان جه مأر بأورده پاچ بيد","مادرزاد","این‌ها مادرزاد کوتاه‌قد بودند","Congenitally","They were short congenitally"
266,"جيجا","مي دس همه جيجا بؤبؤ","زخم","تمام دستم زخم شده است","Injured","My whole hand is injured"
267,"جيجاماما","خۊ وسيلهٰنأ جيجاماما کۊدن دره","پنهان کردن","دارد وسیله‌هایش را پنهان می‌کند","Hide","He/She is hiding his/her stuff"
268,"جير","مۊرغانه کرک ٚجير نهأ","زیر","تخم‌مرغ زیر مرغ است","Under","There's an egg under the chicken"
269,"جيليسکستيم","ورفˇ سرأ شؤن ديبيم هأ ايوار جيليسکستيم","سُر خوردیم","روى برف در حال راه رفتن بودیم ناگهان سُرخوردیم","We Slipped","We were walking on the snow suddenly we slipped"
270,"جيميره","هر کي شاد نبه أنˇ ديل جيميره","افسرده می‌شود","هر کس شاد نباشد دلش افسرده مى‌شود","He/She Will Be Depressed","The person who's not happy will be depressed in his/her own heart"
271,"جيويشت","هأتؤ أمرأ بيده جيويشت","در رفت","همین‌که ما را دید در رفت","He/She Ran Away","The moment he/She saw us he/she ran away"
272,"جيويشت","مي بال جيويشت","در رفت (اعضای بدن)","دستم در رفت","Dislocated (Body Members)","My hand dislocated"
273,"جکشه","خؤرأ جکشه","کنار می‌کشد","خودش را کنار می‌کشد","Pulls Aside","He/She pulls aside"
274,"جکفت","مي دهنأ آب جکفت","آب افتاد","دهنم آب افتاد","Watered","My mouth watered"
275,"جۊخۊسانه","خۊ پۊلانأ فرشˇ جير جۊخۊسانه","پنهان کرد","پول‌هایش را زیر فرش پنهان کرد","He/She Hid","He/She hid his/her moneys under the carpet"
276,"جۊخۊفت","بۊشؤ دارˇ پۊشت جۊخۊفت","پنهان شد","رفت پشت درخت پنهان شد","He/She Hid","He/She went and hid behind the tree"
277,"جۊديکي","هؤلأ بؤستم مرأ جۊديکي بيگيفت","لکنت زبان","هول شدم و لکنت زبان گرفتم","Stutter","I panicked and I stuttered"
278,"جۊرأ بيد","زاکان کس کسه مرأ زۊد جۊرأ بيد","خو می‌گیرند","بچه‌ها زود با هم خو مى‌گیرند","They Accustom","Kids accustom to each other so soon"
279,"جۊراف","تي جۊرافانأ دۊکۊن","جوراب","جوراب‌هایت را بپوش","Socks","Wear your socks"
280,"جۊفت","ايتأ جۊفت کفش بهئم","جفت","یک جفت کفش خریدم","Pair","I bought a pair of shoes"
281,"جۊل","تي سۊرخˇ جۊلأ قۊربان","لپ","به قربان لپ قرمزت","Cheek","I would die for your red cheek"
282,"جۊلؤ","بۊشۊ جۊلؤ","جلو","جلو برو","Ahead","Go ahead"
283,"جۊلف","کاسپي دريا جۊلفه","عمیق","دریاى کاسپین عمیق است","Deep","Caspian sea is deep"
284,"جۊمجۊمه","مرأ جۊمجۊمه اۊساد","دلشوره","دلشوره گرفتم","Anxious","I got anxious"
285,"جۊکۊن","أ درزنأ مه ره نخ جۊکۊن","سوزن را نخ کن","این سوزن را براى من نخ کن","Thread The Needle","Thread this needle for me"
286,"حأيوان","حأيوانانأ سربسر نهأن نوأ","حیوان","حیوان‌ها را آزار و اذیت نکن","Animal","Do not disturb animals"
287,"حئيقت","حئيقت گي؟","حقیقت","حقیقت را مى‌گویی؟","For Real","Are you telling this for real?"
288,"حقˇ سأى","تي حقˇ سأيأ بۊکۊن آخربسر چأکۊده به","تلاش","تلاش کن سرانجام درست مى‌شود","Try","Try and finally it will be ok"
289,"خألي","اۊنقد کار بۊکۊدم خألي بيس تۊمۊن مرأ فأدأ","فقط","آن قدر کار کردم فقط بیست تومان به من داد","Only","I worked so much but he/she only gave me twenty Tomans"
290,"خأندن","کيتاب خأندن درم","حواندن","دارم کتاب می‌خوانم","Read","I'm reading the book"
291,"خأيه","کي خأيه بأيه؟","می‌خواهد","چه کسى مى‌خواهد بیاید؟","Wants","Who wants to come?"
292,"خؤرم","علي خؤرم زأکه","خوب","على بچه خوبى است","Good","Ali is a good kid"
293,"خؤرنه","أنقد خؤرنه کۊني کي خۊفتن نشأ","خروپف","آن قدر خروپف مى‌کنى که نمى‌شود خوابید","Snoring","You snoring so much that no one can sleep"
294,"خؤره","خؤره بامؤ","خودش","خودش آمد","Himself/Herself","He/She came himself/herself"
295,"خؤره خؤره","مي کيفˇ بند خؤره خؤره بؤرسفت","خود به خود","بند کیفم خود به خود پاره شد","Without Any Reason","The handle of my bag tore without any reason"
296,"خؤشگيل","أ گۊل چندر خؤشگيله","زیبا","این گل چه قدر زیباست","Beautiful","How beautiful is this flower"
297,"خاج","ايتأ خاج هيندانه مرأ فأدن","برشى از چیزى","یک برش هندوانه به من بده","A Slice of Something","Give me a slice of watermelon"
298,"خاخۊر","مي خاخۊر ٚ مرأ بۊشؤئيم رستۊران","خواهر","با خواهرم به رستوران رفتیم","Sister","I went to the restaurant with my sister"
299,"خاخۊرزا","خاخۊرزا مي شين دانشجۊيه","خواهرزاده","خواهرزاده من دانشجو است","Nephew/Niece (Sister's Child)","My niece is a student"
300,"خاش","أ مائي پۊر خاش دأره","استخوان","این ماهى استخوان زیاد دارد","Bone","This fish has a lot of bones"
301,"خاصˇ بخت","حسۊدˇ آدم خاصˇ بخت نيبه","خوش‌بخت","آدم حسود خوش‌بخت نمى‌شود","Blessed","The jealous person won't get blessed"
302,"خاطر","مرأ خاطر نأيه","یاد","یادم نمى‌آید","Remember","I don't remember"
303,"خاطرخا","أشان دۊتا خاطرخائي دأشتيد","عاشق","این دو نفر عاشق هم بودند","In Love","These two people were in love"
304,"خال","بپا خالانأ نشکني","شاخه","مواظب باش شاخه‌ها را نشکنی","Branch","Be careful not to break the branches"
305,"خاليواش","خاليواش ٚ مرأ درار چأکۊنيدي","مرزنگوش","با مرزنگوش نمک سبز درست می‌کنند","Marjoram","They make Darar with marjoram"
306,"خبرأتر","چي خبرأتر؟","خبر و احوال","چه خبر و احوال؟","What's Up","What's up?"
307,"خبرأگير","مؤسن ديرۊ بامؤبۊ تي خبرأگير","سراغ گرفتن","محسن دیروز آمده بود و سراغ تو را می‌گرفت","Asking About Someone","Mohsen had come yesterday and he was asking about you"
308,"خرابگي","دۊمرتبه خرابگي بۊکۊدي؟","خراب‌کارى","دوباره خراب‌کارى کردى؟","Messed Something Up","You messed up again?"
309,"خرتˇ خشال","اۊ خرتˇ خشالانأ فيشأن","وسایل بى‌ارزش","آن وسایل بى‌ارزش را دور بیانداز","Odds And Ends","Throw away those odds and ends"
310,"خسته","تۊرفانأ خسته بکأشتي","متراکم","ترب‌ها را متراکم کاشتى","Compactly","You planted those radishes compactly"
311,"خفت","مرأ خفتأ گيره","چندش","چندش‌ام می‌شود","Disgust","I disgust"
312,"خفت","دئه مي خفت بسر أمؤن دره","تحمل","دیگر دارد تحمل‌ام تمام مى‌شود","Endure","I can't endure anymore"
313,"خفتي","خفتي آدمه","کم تحمل","آدم کم تحملى است","Intolerant","He/She is intolerant"
314,"خفيانگي","خۊ کارانأ خفيانگي کۊنه","پنهانى","کارهایش را مخفیانه انجام مى‌دهد","Secretly","He/She does his/her job secretly"
315,"خٚرٚک","أمي بجانأ خٚرٚکأ کۊده","شپشک برنج","برنج‌هاى ما را شپشک زده است","Rice Weevil","There's rice weevil in our rice"
316,"خکاره","ايتأ پيله خکاره بيهين","ماهی‌تابه","یک ماهی‌تابه بزرگ بخر","Frying Pan","Buy a large frying pan"
317,"خۊ","هرکي خۊ ماشينˇ مرأ بأيه","خودش","هرکس با ماشین خودش بیاید","Own","Anyone come with their own car"
318,"خۊج","خۊج خۊري؟","گلابی وحشی","گلابی وحشی می‌خوری؟","Wild Pear","Do you eat wild pear?"
319,"خۊرانئن","زاکأ دوا خۊرانئن درم","خوراندن","به بچه دارو مى‌خورانم","Feed","I'm feeding medicine to the baby"
320,"خۊرکأ","خۊرکأ دامان ٚ مئن زيويسته","جوجه‌تیغی","جوجه‌تیغی در جنگل زندگی می‌کند","Hedgehog","Hedgehog lives in the forest"
321,"خۊس","نأمم چي ره ايمرۊ خۊس کۊنمه","سرفه","نمى‌دانم براى چه امروز سرفه مى‌کنم","Cough","I don't know why I'm coughing today"
322,"خۊسانه","مهين کرأ خۊ زاکأ خۊسانه","می‌خواباند","مهین دارد بچه‌اش را مى‌خواباند","Put Someone to Sleep","Mahin is putting her baby to sleep"
323,"خۊسه","زأکˇ ره لالائي بيگي زۊتر خۊسه","مى‌خوابد","براى بچه لالایى بگویى زودتر مى‌خوابد","He/She Sleeps","Sing lullaby to the baby so he/she sleeps soon"
324,"خۊشأدم","أيأ بيأ ترأ خۊشأدم","ببوسم","این‌جا بیا تو را ببوسم","Kiss","Come here let me kiss you"
325,"خۊشانه","أمان أشانأ دعوت نيگيفته بيم، خۊشانه بامؤبيد","خودسرانه","ما آن‌ها را دعوت نکرده بودیم، خودسرانه آمده بودند","Arbitrarily","We didn't invite them, they came arbitrarily"
326,"خۊشک","سلان همه خۊشکأ بؤستده","خشک","آبگیرها همه خشک شده‌اند","Dry","All ponds have dried up"
327,"خۊله","گرزه بۊشؤ خۊله مئن","سوراخ","موش درون سوراخ رفت","Hole","The mouse went into the hole"
328,"خۊلي","خۊلي-يانأ بيچه-ئي؟","گوجه‌سبز","گوجه‌سبزها را چیدی؟","Greengage","Did you pick the greengages?"
329,"خۊمه","حجحجي أمي هره سر خۊمه بنأ","لانه","پرستو بالاى ایوان خانه ما لانه گذاشته است","Nest","Swallow made a nest on the porch of our house"
330,"خۊن ديمير","مي پا أنگۊشت خۊن ديمير بؤبؤسته","خون مرده","انگشت پای من خون مرده شده است","Bruised","My toe got bruised"
331,"خۊچک","أ آشتالۊ خۊچکه","هسته‌جدا","این هلو هسته‌جدا است","Easy Separable Seed","This peach has easy separable seed"
332,"دأني","دأني تي برار کؤيأ ايسأ؟","می‌دانی","می‌دانی برادرت کجا است؟","You Know","Do you know where's your brother?"
333,"دؤجين","ته ره دؤجين بۊکۊن","انتخاب","برای خودت انتخاب کن","Choice","Make a choice for yourself"
334,"دؤرˇ شر","اينفر کرأ دؤرˇ شرˇ جأ أيه","دور دست","یک نفر دارد از دور دست مى‌آید","Afar","Someone is coming from afar"
335,"دؤرسفت","مي زيبيلˇ تان دؤرسفت","پاره شد","کف زنبیلم پاره شد","It Tore","The bottom of my bag tore"
336,"دؤوانئن","صؤب تا هسأ مرأ دؤوانئن دره","دواندن","از صبح تا حالا دارند من را سر مى‌دواند","Goof Off","He/She is goofing me off since morning"
337,"دؤوستن","کرأ دؤوم","دویدن","دارم مى‌دوم","Running","I'm running"
338,"دؤککؤ","دؤککؤ بۊخۊردم","تعجب","تعجب کردم","Surprised","I got surprised"
339,"دئر","مي مٚدٚرسه دئرأ بؤ","دیر","مدرسه‌ام دیر شد","Late","I'm late for school"
340,"دئن","چي دئن دري؟","دیدن","چه داری می‌بینی؟","See","What are you seeing?"
341,"دئه","ايتأ دئه نان مرأ فأدن","دیگر","یک نان دیگر به من بده","Another","Give me another bread"
342,"دئه","من دئه بازي نۊکۊنم","دیگر","من دیگر بازى نمى‌کنم","Anymore","I don't play anymore"
343,"داب","أن تازه دابه؟","روش","این روش جدید است؟","Method","Is it a new method?"
344,"دار","خۊشک ٚ دار هيمه ره خؤبه","درخت","درخت خشک برای هیزم خوب است","Tree","Dried trees are good for firewood"
345,"دار","أ دارانأ کي وأوه؟","درخت","این درخت‌ها را چه‌کسی برید؟","Tree","Who cut these trees down?"
346,"داشتˇ دارائي","بعضي-يانˇ داشتˇ دارائي-يأ ايشماردن نشأ","ثروت","ثروت بعضى‌ها را نمى‌شود شمرد","Wealth","You can't count some people's wealth"
347,"داغۊله باز","تۊ داغۊله بازي","جر زن","تو جرزنى","Cheater","You are a cheater"
348,"دامان","أمأن جۊمه شيم دامان","جنگل","ما جمعه به جنگل می‌رویم","Forest","We will go to the forest on Friday"
349,"داميشک","داميشک ويشتر أمرأ سر زئي","قبلن","قبلن بیشتر به ما سر مى‌زدى","Used To","You used to visit us more"
350,"دباختيم","ايمرۊ بازي-يأ دباختيم","باختیم","امروز بازى را باختیم","We Lost","We lost the game today"
351,"دتاوسته","آفتاب کؤرأ جه دتاوسته اۊتاق ٚ مئن؟","تابیده","آفتاب از کجا به داخل اتاق تابیده است؟","Shine","Where does the sun shine into the room?"
352,"دخشارده","مرأ دخشارده ديفارأ","فشار داد","من را به دیوار فشار داد","Pushed","He/She is pushed me to the wall"
353,"درار","أمأن خیارأ درار ٚ أمرأ خۊريم","نمک سبز","ما خیار را با نمک سبز می‌خوریم","Darar","We eat cucumber with darar"
354,"دراز ٚ راشي","ايتأ درازˇ راشي-يأ دٚوارستيم","جاده بلند","از یک جاده بلند عبور کردیم","Long Road","We crossed a long road"
355,"درازه","درازه بدن","ادامه","ادامه بده","Continue","(You) Continue"
356,"دربند","کارأ دربند نۊبۊ","علاقمند","به کار علاقمند نبود","Interested","He/She wasn't interested in work"
357,"درجک","اۊ درجکأ وأکۊن","پنجره","آن پنجره را باز کن","Window","Open that window"
358,"درده","أمرأ درده دأن نوأ نتأني بۊگۊ نتأنم","دق","ما را دق نده اگر نمى‌توانى بگو نمى‌توانم","Suffer","Don't make us suffer, just say it if you can't"
359,"درزن","بۊشۊ اۊ درزنأ مه ره بأور","سوزن","برو آن سوزن را براى من بیاور","Needle","Go and bring me that needle"
360,"دره","أ خۊمˇ مئن آب دره","هست","داخل این خمره آب است","There Is","There's water inside the crock"
361,"درياگۊش","بۊشؤبيم کاسپي دريا درياگۊش اۊچينيم","صدف","رفته بودیم دریاى کاسپین تا صدف جمع کنیم","Seashell","We were gone to Caspian sea to collect seashell"
362,"دس اۊکۊف","کارگأران ٚ دس اۊکۊفأ وا فأدن","دستمزد","دستمزد کارگران را باید داد","Salary","Worker's salary must be paid"
363,"دس بازار","أمرأ دس-بازارأ گيفتي؟","مسخره کردن","ما را مسخره مى‌کنى؟","To Make Fun of","Are you making fun of us?"
364,"دس بکشه","پيچأ بيده نتأنه کؤترأ بيگيره دس بکشه","بى‌خیال شد","گربه دید نمى‌تواند کبوتر را بگیرد بى‌خیال شد","Gave up","The cat saw that it can't hunt the pigeons so it gave up"
365,"دس فأرس","ميقراض مرأ دس-فأرس ني-يه","در دسترس","قیچى در دسترس من نیست","Available","The scissors is not available to me"
366,"دس پرأ گيفتن","أمرأ دس پرأ گيفتي؟","مسخره کردن","ما را مسخره مى‌کنى؟","Mock","Are you mocking us?"
367,"دسˇ تان","مي دسˇ تان مرأ خارش کۊنه","کف دست","کف دستم مى‌خارد","Palm","My palm is itchy"
368,"دسامۊجه","أ پيچأ دسامۊجه","دست آموز است","این گربه دست‌آموز است","Trained","This cat is a trained"
369,"دسانئن","بجأ دسانئن درم","خیساندن","دارم برنج را خیس مى‌کنم","Soaking","I'm soaking the rice"
370,"دسنماز","مي مأر بۊشؤ دسنماز بيگيره","وضو","مادرم رفته وضو بگیرد","Ablution","My mother went to perform ablution"
371,"دسکٚلا","هۊتؤ دسکٚلا زئيد أمؤن ديبيد","کف زدن","همان‌طور داشتند کف می‌زدند و می‌آمدند","Clapping","They were clapping while coming"
372,"دشان","زاکأ پۊتۊ دشان","بپوشان","روی بچه را با پتو بپوشان","Cover","Cover on the baby with a blanket"
373,"دفراز","ترأ دفراز پۊشتي-يأ","تکیه بده","به پشتى تکیه بده","Lean","Lean on the backrest"
374,"دللـه","آغۊزأ بشکنه-ئي پۊستأ ايور بنه دللـهˈ ايور","مغز میانى","گردو را شکستى پوست را یک طرف بگذار مغز را یک طرف دیگر","Nut","When you broke walnut put the shell one side and the nut the other side"
375,"دم بتۊ","جه اۊ وخته ترأ بشناختم دم بتۊ بي","تودار","از آن موقع که تو را شناختم تودار بودى","Self-Contained","Since I knew you, you were self-contained"
376,"دم بۊکۊده","هوا دم بۊکۊده","شرجى","هوا شرجى است","Humid","The weather is humid"
377,"دمختن","گيل دمختن دري؟","لگد کردن","دارى گل لگد مى‌کنى؟","Tread","Are you treading in mud?"
378,"دمق","أمرأ دمقأ کۊد","خیط","ما را خیط کرد","Embarrass","He/She embarrassed us"
379,"دوا","مي دوائانأ بأور بۊخۊرم","دارو","داروهایم را بیاور بخورم","Medicine","Bring me my medicine to take"
380,"ديرۊ","هرچي خأستيم ديرۊ بيهئم","دیروز","هرچه احتیاج داشتم دیروز خریدم","Yesterday","I bought all I need yesterday"
381,"ديفار","خأيم خانه دؤرأ ديفار بۊکۊنم","دیوار","مى‌خواهم دور خانه را دیوار کنم","Wall","I want to build a wall around my house"
382,"ديل","مي ديل بشکفته","دل","دلم شکسته","Heart","My heart is broken"
383,"ديلأ گيفتن","أ تۊنگ تي ديلأ بيگيفته؟","پسندیدن","این دستبند را پسندیدى؟","Like","Do you like this bracelet?"
384,"ديم","تي ديمأ بۊشؤر","صورت","صورتت را بشور","Face","Wash your face"
385,"ديمه","تي آغۊزان ديمه بنن","کنار","گردوهایت را کنار بگذار","Aside","Put aside your walnuts"
386,"ديميريدي","هر سال دأني چن نفر کاسپي دريا ميان ديميريدي؟","غرق می‌شوند","مى‌دانى هر سال چند نفر داخل دریاى کاسپین غرق مى‌شوند؟","They Drown","Do you know how many people drown in the Caspian sea every year?"
387,"ديميشته","پيچأ أمرأ ديميشته","ادرار کرد","گربه روی ما ادرار کرده است","Piss","The cat piss on us"
388,"ديني-يه","نيما حيسابˇ دۊرۊن پۊل ديني-يه","نیست","داخل حساب نیما پول نیست","There Is Not","There is not money in Nima's bank account"
389,"ديويست","ديويست تۊمۊن دئه پۊل ني-يه","دویست","دویست تومان دیگر پولی نیست","Two Hundred","Two hundred Tomans is nothing now"
390,"ديچئن","مريم کابينتأ ديچئن دره","مرتب کردن","مریم دارد کابینت را مرتب می‌کند","Organize","Maryam is organizing the cabinet"
391,"دٚوارستم","ديرۊ شيمي کۊچهٰ دٚوارستم","عبور کردم","دیروز از کوچه شما عبور کردم","I Was Passing By","I was passing by your alley yesterday"
392,"دٚوارسته","دوارسته-يأ وا بدن","گذشته","گذشته را رها کن","The Past","Let go of the past"
393,"دٚوسته","ايرۊ أ دٚوسته دران وأبه","بسته","یک روز این درهاى بسته باز مى‌شود","Closed","One day these closed doors will open"
394,"دٚوٚد","کيتابأ دٚوٚد بيأ أيأ","ببند","کتاب را ببند این‌جا بیا","Close","Close the book and come here"
395,"دٚوٚد وأود","چي-يأ دٚوٚد وأود کۊدن دري؟","بسته‌بندی","چه چیزی را دارى بسته‌بندى می‌کنی؟","Packing","What are you packing?"
396,"دٚوٚل","هأى دٚوٚل دأئي","طفره","همه‌اش طفره مى‌رفت","Dodging","He was dodging all the time"
397,"دکش","مي پئر خأستي مرأ دکشأ ده","سیلى","پدرم مى‌خواست به من سیلى بزند","Slap","My dad wanted to slap me"
398,"دکش","اۊ لافندأ دکش","محکم کن","آن طناب را محکم کن","Tighten","Tighten that rope"
399,"دگرأ","چي ره دگرأ خۊري؟","تلوتلو","براى چه تلوتلو مى‌خورى؟","Wamble","Why are you wambling?"
400,"دۊتأ","دۊتأ أشتالۊ مرأ فأدن","دو عدد","دو عدد هلو به من بده","Two (For Items)","Give me two peaches"
