"id","glk_word","glk_example","en_word","en_example"
304,"خال","بپا خالانأ نشکني","Branch","Be careful not to break the branches"
305,"خاليواش","خاليواش ٚ مرأ درار چأکۊنيدي","Marjoram","They make Darar with marjoram"
306,"خبرأتر","چي خبرأتر؟","What's Up","What's up?"
307,"خبرأگير","مؤسن ديرۊ بامؤبۊ تي خبرأگير","Asking About Someone","Mohsen had come yesterday and he was asking about you"
308,"خرابگي","دۊمرتبه خرابگي بۊکۊدي؟","Messed Something Up","You messed up again?"
309,"خرتˇ خشال","اۊ خرتˇ خشالانأ فيشأن","Odds And Ends","Throw away those odds and ends"
310,"خسته","تۊرفانأ خسته بکأشتي","Compactly","You planted those radishes compactly"
311,"خفت","مرأ خفتأ گيره","Disgust","I disgust"
312,"خفت","دئه مي خفت بسر أمؤن دره","Endure","I can't endure anymore"
313,"خفتي","خفتي آدمه","Intolerant","He/She is intolerant"
314,"خفيانگي","خۊ کارانأ خفيانگي کۊنه","Secretly","He/She does his/her job secretly"
315,"خٚرٚک","أمي بجانأ خٚرٚکأ کۊده","Rice Weevil","There's rice weevil in our rice"
316,"خکاره","ايتأ پيله خکاره بيهين","Frying Pan","Buy a large frying pan"
317,"خۊ","هرکي خۊ ماشينˇ مرأ بأيه","Own","Anyone come with their own car"
318,"خۊج","خۊج خۊري؟","Wild Pear","Do you eat wild pear?"
319,"خۊرانئن","زاکأ دوا خۊرانئن درم","Feed","I'm feeding medicine to the baby"
320,"خۊرکأ","خۊرکأ دامان ٚ مئن زيويسته","Hedgehog","Hedgehog lives in the forest"
321,"خۊس","نأمم چي ره ايمرۊ خۊس کۊنمه","Cough","I don't know why I'm coughing today"
322,"خۊسانه","مهين کرأ خۊ زاکأ خۊسانه","Put Someone to Sleep","Mahin is putting her baby to sleep"
323,"خۊسه","زأکˇ ره لالائي بيگي زۊتر خۊسه","He/She Sleeps","Sing lullaby to the baby so he/she sleeps soon"
324,"خۊشأدم","أيأ بيأ ترأ خۊشأدم","Kiss","Come here let me kiss you"
325,"خۊشانه","أمان أشانأ دعوت نيگيفته بيم، خۊشانه بامؤبيد","Arbitrarily","We didn't invite them, they came arbitrarily"
326,"خۊشک","سلان همه خۊشکأ بؤستده","Dry","All ponds have dried up"
327,"خۊله","گرزه بۊشؤ خۊله مئن","Hole","The mouse went into the hole"
328,"خۊلي","خۊلي-يانأ بيچه-ئي؟","Greengage","Did you pick the greengages?"
329,"خۊمه","حجحجي أمي هره سر خۊمه بنأ","Nest","Swallow made a nest on the porch of our house"
330,"خۊن ديمير","مي پا أنگۊشت خۊن ديمير بؤبؤسته","Bruised","My toe got bruised"
331,"خۊچک","أ آشتالۊ خۊچکه","Easy Separable Seed","This peach has easy separable seed"
332,"دأني","دأني تي برار کؤيأ ايسأ؟","You Know","Do you know where's your brother?"
333,"دؤجين","ته ره دؤجين بۊکۊن","Choice","Make a choice for yourself"
334,"دؤرˇ شر","اينفر کرأ دؤرˇ شرˇ جأ أيه","Afar","Someone is coming from afar"
335,"دؤرسفت","مي زيبيلˇ تان دؤرسفت","It Tore","The bottom of my bag tore"
336,"دؤوانئن","صؤب تا هسأ مرأ دؤوانئن دره","Goof Off","He/She is goofing me off since morning"
337,"دؤوستن","کرأ دؤوم","Running","I'm running"
338,"دؤککؤ","دؤککؤ بۊخۊردم","Surprised","I got surprised"
339,"دئر","مي مٚدٚرسه دئرأ بؤ","Late","I'm late for school"
340,"دئن","چي دئن دري؟","See","What are you seeing?"
341,"دئه","ايتأ دئه نان مرأ فأدن","Another","Give me another bread"
342,"دئه","من دئه بازي نۊکۊنم","Anymore","I don't play anymore"
343,"داب","أن تازه دابه؟","Method","Is it a new method?"
344,"دار","خۊشک ٚ دار هيمه ره خؤبه","Tree","Dried trees are good for firewood"
345,"دار","أ دارانأ کي وأوه؟","Tree","Who cut these trees down?"
346,"داشتˇ دارائي","بعضي-يانˇ داشتˇ دارائي-يأ ايشماردن نشأ","Wealth","You can't count some people's wealth"
347,"داغۊله باز","تۊ داغۊله بازي","Cheater","You are a cheater"
348,"دامان","أمأن جۊمه شيم دامان","Forest","We will go to the forest on Friday"
349,"داميشک","داميشک ويشتر أمرأ سر زئي","Used To","You used to visit us more"
350,"دباختيم","ايمرۊ بازي-يأ دباختيم","We Lost","We lost the game today"
351,"دتاوسته","آفتاب کؤرأ جه دتاوسته اۊتاق ٚ مئن؟","Shine","Where does the sun shine into the room?"
352,"دخشارده","مرأ دخشارده ديفارأ","Pushed","He/She is pushed me to the wall"
353,"درار","أمأن خیارأ درار ٚ أمرأ خۊريم","Darar","We eat cucumber with darar"
354,"دراز ٚ راشي","ايتأ درازˇ راشي-يأ دٚوارستيم","Long Road","We crossed a long road"
355,"درازه","درازه بدن","Continue","(You) Continue"
356,"دربند","کارأ دربند نۊبۊ","Interested","He/She wasn't interested in work"
357,"درجک","اۊ درجکأ وأکۊن","Window","Open that window"
358,"درده","أمرأ درده دأن نوأ نتأني بۊگۊ نتأنم","Suffer","Don't make us suffer, just say it if you can't"
359,"درزن","بۊشۊ اۊ درزنأ مه ره بأور","Needle","Go and bring me that needle"
360,"دره","أ خۊمˇ مئن آب دره","There Is","There's water inside the crock"
361,"درياگۊش","بۊشؤبيم کاسپي دريا درياگۊش اۊچينيم","Seashell","We were gone to Caspian sea to collect seashell"
362,"دس اۊکۊف","کارگأران ٚ دس اۊکۊفأ وا فأدن","Salary","Worker's salary must be paid"
363,"دس بازار","أمرأ دس-بازارأ گيفتي؟","To Make Fun of","Are you making fun of us?"
364,"دس بکشه","پيچأ بيده نتأنه کؤترأ بيگيره دس بکشه","Gave up","The cat saw that it can't hunt the pigeons so it gave up"
365,"دس فأرس","ميقراض مرأ دس-فأرس ني-يه","Available","The scissors is not available to me"
366,"دس پرأ گيفتن","أمرأ دس پرأ گيفتي؟","Mock","Are you mocking us?"
367,"دسˇ تان","مي دسˇ تان مرأ خارش کۊنه","Palm","My palm is itchy"
368,"دسامۊجه","أ پيچأ دسامۊجه","Trained","This cat is a trained"
369,"دسانئن","بجأ دسانئن درم","Soaking","I'm soaking the rice"
370,"دسنماز","مي مأر بۊشؤ دسنماز بيگيره","Ablution","My mother went to perform ablution"
371,"دسکٚلا","هۊتؤ دسکٚلا زئيد أمؤن ديبيد","Clapping","They were clapping while coming"
372,"دشان","زاکأ پۊتۊ دشان","Cover","Cover on the baby with a blanket"
373,"دفراز","ترأ دفراز پۊشتي-يأ","Lean","Lean on the backrest"
374,"دللـه","آغۊزأ بشکنه-ئي پۊستأ ايور بنه دللـهˈ ايور","Nut","When you broke walnut put the shell one side and the nut the other side"
375,"دم بتۊ","جه اۊ وخته ترأ بشناختم دم بتۊ بي","Self-Contained","Since I knew you, you were self-contained"
376,"دم بۊکۊده","هوا دم بۊکۊده","Humid","The weather is humid"
377,"دمختن","گيل دمختن دري؟","Tread","Are you treading in mud?"
378,"دمق","أمرأ دمقأ کۊد","Embarrass","He/She embarrassed us"
379,"دوا","مي دوائانأ بأور بۊخۊرم","Medicine","Bring me my medicine to take"
380,"ديرۊ","هرچي خأستيم ديرۊ بيهئم","Yesterday","I bought all I need yesterday"
381,"ديفار","خأيم خانه دؤرأ ديفار بۊکۊنم","Wall","I want to build a wall around my house"
382,"ديل","مي ديل بشکفته","Heart","My heart is broken"
383,"ديلأ گيفتن","أ تۊنگ تي ديلأ بيگيفته؟","Like","Do you like this bracelet?"
384,"ديم","تي ديمأ بۊشؤر","Face","Wash your face"
385,"ديمه","تي آغۊزان ديمه بنن","Aside","Put aside your walnuts"
386,"ديميريدي","هر سال دأني چن نفر کاسپي دريا ميان ديميريدي؟","They Drown","Do you know how many people drown in the Caspian sea every year?"
387,"ديميشته","پيچأ أمرأ ديميشته","Piss","The cat piss on us"
388,"ديني-يه","نيما حيسابˇ دۊرۊن پۊل ديني-يه","There Is Not","There is not money in Nima's bank account"
389,"ديويست","ديويست تۊمۊن دئه پۊل ني-يه","Two Hundred","Two hundred Tomans is nothing now"
390,"ديچئن","مريم کابينتأ ديچئن دره","Organize","Maryam is organizing the cabinet"
391,"دٚوارستم","ديرۊ شيمي کۊچهٰ دٚوارستم","I Was Passing By","I was passing by your alley yesterday"
392,"دٚوارسته","دوارسته-يأ وا بدن","The Past","Let go of the past"
393,"دٚوسته","ايرۊ أ دٚوسته دران وأبه","Closed","One day these closed doors will open"
394,"دٚوٚد","کيتابأ دٚوٚد بيأ أيأ","Close","Close the book and come here"
395,"دٚوٚد وأود","چي-يأ دٚوٚد وأود کۊدن دري؟","Packing","What are you packing?"
396,"دٚوٚل","هأى دٚوٚل دأئي","Dodging","He was dodging all the time"
397,"دکش","مي پئر خأستي مرأ دکشأ ده","Slap","My dad wanted to slap me"
398,"دکش","اۊ لافندأ دکش","Tighten","Tighten that rope"
399,"دگرأ","چي ره دگرأ خۊري؟","Wamble","Why are you wambling?"
400,"دۊتأ","دۊتأ أشتالۊ مرأ فأدن","Two (For Items)","Give me two peaches"
401,"دۊجا بۊگۊئي","دۊجا بۊگۊئي خؤرم کار ني-يه","Tittle-Tattle","Tittle-tattle isn't a good thing"
402,"دۊجۊل دۊجۊل","دۊجۊل دۊجۊل خوردن دره","Eating With a Full Mouth","He/She is eating with a full mouth"
403,"دۊخادن","کي مرأ دۊخاده؟","Call","Who called me?"
404,"دۊرۊس","شۊمان دۊرۊس فرمائيدي","Right","You're right"
405,"دۊرۊسته","أنأ هأتؤ دۊرۊسته أنˇ جأ سر بنه","Complete","Put it back completely"
406,"دۊرۊن","خۊ اۊتاقˇ دۊرۊن ايسأ","Inside","He/She is inside his/her room"
407,"دۊم","لانتي خۊ دۊمأ گرکه بۊکۊد","Tail","The snake wrapped its tail around itself"
408,"دۊماغ","مي دۊماغ خارش کۊنه","Nose","My nose itches"
409,"دۊمبالسر","اۊ ری کيسه أمي دۊمبالسر أمؤن دره؟","Behind","Who's that boy coming behind us?"
410,"دۊمرتبه","دۊمرتبه وأگردم بخانه","Again","I'll come back home again"
411,"دۊنبۊ","پينير جا ميان پينير دۊنبۊ","Wasn't","There wasn't any cheese in the dish"
412,"دۊنيا","أ زاکان دۊنيايأ چأکۊنيدي","The World","These kids will build the world"
413,"دۊواره","دۊواره بۊگۊ","Again","Say that again"
414,"دۊچکان","أشانأ چسبˇ چۊ مرأ دۊچکان","Glue","Glue these with wood glue"
415,"دۊکان","مأمدˇ أمرأ بۊشۊ دۊکان","Shop","Go to the shop with Mohammad"
416,"دۊکتۊر","خأيم بشم دۊکتۊر","Doctor","I want to go to the doctor"
417,"دۊکۊد","آسيه خۊ کافشينأ دۊکۊد","He/She Wore","Asiyeh wore her jacket"
418,"دۊکۊش","اۊ لامپأ دۊکۊش","Turn It Off","Turn that lamp off"
419,"دۊکۊن","ته ره غذا دۊکۊن","Serve (Food)","Serve yourself some food"
420,"رؤجا","رؤجایانأ بيدين","Star","Look at the stars"
421,"رئک","اۊ رئکأ بيده-ئي؟","Boy","Did you see that boy?"
422,"رات","أنˇ مۊ راته","Straight Hair","His/Her hair is straight"
423,"رادˇوار","رادٚوارأ وأورس","Passer-By","Ask the passer-by"
424,"راستأ کۊن","أ جابهˈنأ راستأکۊن بنه اۊرأ","Lift","Lift these boxes and put them over there"
425,"راشي","هأ راشي-يأ بۊشۊ","Road","Go to this road"
426,"رافا","تي رافا ايسم","Waiting","I'll wait for you"
427,"رج","أشانأ به رجأ کۊن","Row","Put them in a row"
428,"رخشن","أمرأ رخشنأ گيفتي؟","Mock","Are you mocking us?"
429,"ره","أمه ره چي بأوردي؟","For","What did you bring for us?"
430,"ريفئق","مي ريفئق ٚ مرأ شؤن درم بيرۊن","Friend","I'm going out with my friend"
431,"رچ","هأ رچأ بيگير بۊشۊ","Footprint","Follow this footprint and go"
432,"رۊخان","رۊخانأ بيدئي؟","River","Did you see the river?"
433,"رۊز","اي رۊز أيم ترأ دينم","Day","One day I'll come to see you"
434,"زئن","زاکأنأ نوأسي زئن","Beating","Children should not be beaten"
435,"زاقۊت","زاقۊته","Very Sour","It's very sour"
436,"زاما","تي زاما کؤيأ کار کۊنه؟","Son in Law","Where does your son in low work?"
437,"زاکان","أمي زاکان دئه پيلهˈ بؤستد","Children","Our children grew up"
438,"زرخ","زرخأ بؤسته خۊردن نشأ","Bitter","It got bitter and can't be eaten"
439,"زرخ","مي پئر ديرۊ پۊر زرخ بۊ","Angry","My father was very angry yesterday"
440,"زن برار","تي زن برار أمي أمرأ أيه","Brother in Law (Wife's Brother)","Your brother in law coming with us"
441,"زن خاخۊر","مي زن خاخۊر ايران نئسأ","Sister In Law (Husband's Sister)","My sister in law isn't in Iran"
442,"زن خاخۊرزا","تي زن خاخۊرزايأ بيدئم","Wife's Nephew/Niece","I saw your wife's nephew"
443,"زن مأر","مي زن مأر بۊشؤ خۊ خاخۊر ٚ خانه","Mother in Law (Wife's Mother)","My mother in law went to her sister's house"
444,"زن پئر","مي زن پئر ٚ خانه هأ کۊچه دۊرۊنه","Father in Law (Wife's Father)","My father in law's house is in this alley"
445,"زنأى","أ زنأی دئه کيسه؟","Woman","Who is this woman?"
446,"زنجيل","وا ايتأ زنجيل بيهينم","Chain","I must buy a chain"
447,"زنخازي","مي برارˇ ره بۊشؤم زنخازي","Propose (To a Woman)","I went to propose for my brother"
448,"زهار","ايوار ايوار نوأ تام زئن، وا زهار کۊدن","Shout","Sometimes you shouldn't stay silent, you must shout"
449,"زواله","أسأ زواله خابˇ مؤقه-يه","Summer Afternoon","It's time for a summer afternoon nap"
450,"زوان","گيلکي زوانه، لاجه ني-يه","Language","Gilaki is a language, it's not an accent"
451,"زيويستن","أن دئه چۊجۊر زيويستنه؟","Living","What kind of living is this?"
452,"سئخ","سئخانأ کؤيأ بنأئي؟","Skewer","Where did you put the skewers?"
453,"ساج","تي ساجأ چأکۊن","Hair","Fix your hair"
454,"ساق","أمي ناجه أن ٚ کي هميشک ساق بيبيد","Health","Our wish is that you always be healthy"
455,"سامان","کؤ سامان شؤن دريم؟","Place","What place are we going to?"
456,"سانچؤ","جه وس هوا سرده سانچؤ زئن درم","Pneumonia","It's too cold I'm getting pneumonia"
457,"سخت","همه-تا کاران سخته","Difficult","All jobs are difficult"
458,"سختي أمؤن","مرأ سختي أيه بشم بيرۊن","Feeling Lazy","I'm feeling lazy to go outside"
459,"سر","تي وسيلهٰنأ بنه ميز ٚ سر","On","Put your stuff on the table"
460,"سر","تۊ کي سر ايسي؟","Side (Who)","Whose side are you on?"
461,"سرˇ کؤره","مي سرˇ کؤره مرأ در کۊنه","Temple","My temple hurts"
462,"سرأ جيري","أ سرأ جيري-يأ وا دٚواريم","Downhill","We should cross this downhill"
463,"سرأ دن","مي سفارشانأ سرأ دن","Send","Send me my orders"
464,"سرأ دن","اۊ پيچأ زاکأ سرأدن","Release","Release that kitten"
465,"سراکۊنأ","کيتابأ سراکۊنأ بيگيفتي","Upside Down","You're holding the book upside down"
466,"سربس","تي سربسأ بۊگۊ","Source","Tell me about your source"
467,"سربسر","مرأ سربسر نهأن نوأ","Bother","Don't bother me"
468,"سربسر","هۊتؤ سربسر بنه","Overlay","Leave it overlay"
469,"سرد ٚ وا","سرد ٚ وا دمه","Cold Wind","Cold wind is blowing"
470,"سردي","بۊشۊ سردي-يأ بأور","Ladder","Go bring the ladder"
471,"سرسۊم","سرسۊم کي بکفتي بزين ترأ حالي-يه","Falling Over Your Head","You will understand when you fall over your head"
472,"سرفۊکؤ","هأى أمرأ سرفۊکؤ زنه","Rebuke","He/She rebukes us constantly"
473,"سرگمجي","زأکأن ٚ سرگمجي ره، أشانه کيتاب بخأنيد","Entertain","To Entertain kids, read a book for them"
474,"سس","تي پلا چي ره سسه؟","Tasteless (Without Any Salt)","Why is your rice tasteless?"
475,"سفيان","سفيان بۊکۊدم","Very Scared","I was very scared"
476,"سلامال","مي سلاماله","The Same Age","He/She is the same age as me"
477,"سه لنگه","اۊ سه لنگه-يأ بأور","Tripod","Bring me that tripod"
478,"سيا","مي سيا تۊمانأ بيدئي؟","Black","Have you seen my black pants?"
479,"سيبيشکا","سيبيشکا خۊري؟","Sunflower Seed","Do you eat sunflower seeds?"
480,"سيفيد","اۊ سيفيدˇ کفشأ خأيم","White","I want those white shoes"
481,"سيوا","أشانأ سيوا بنه","Separated","keep these separated"
482,"سٚبٚج","تي سرأ سٚبٚجأ کۊده؟","Lice","Did you get head lice?"
483,"سٚفره","سٚفره ٰ بۊشؤستم","Tablecloth","I washed the tablecloth"
484,"سٚند","تي سٚند چقده؟","Old (Age)","How old are you?"
485,"سٚودا","خليل بۊشؤ بازار سٚودا بۊکۊنه","Trade","Khalil went to the bazaar to trade"
486,"سک","سکان پيچائانˇ وأسي لاب کۊديد","Dog","Dogs were barking because of cats"
487,"سۊ","بۊخاري سۊ زياده","Flame","The flame of the heater is too high"
488,"سۊ","الا تي تي سۊ کۊنه","Shine","The moon shines"
489,"سۊبۊل","ترأ سۊبۊلأ کۊده مگه؟","Flea","Do you got flea?"
490,"سۊبۊک","أ کفش چندر سۊبۊکه","Light (Weight)","These shoes are so light"
491,"سۊج","مي گۊلي مرأ سۊج کۊنه","Burning","My throat is burning"
492,"سۊج","هوا سۊج دأره","Burning Cold","The weather is burning cold"
493,"سۊرخ","أ سۊرخˇ پرهنأ دۊکۊن","Red","Wear this red shirt"
494,"سۊستي","سۊستي کۊدن نوأ","Lazy","Don't be lazy"
495,"سۊفته","تا هسأ سۊفته نۊکۊديم","First Sale of The Day","I didn't get my first sale of the day so far"
496,"سۊماپالان","کابينتˇ جأ سۊماپالانأ مرأ فأدن","Colander","Give me the colander from the cabinet"
497,"سۊک","سردي-يأ سۊک بني کفه","Vertically","If you put the ladder vertically it will fall"
498,"سۊکۊله","سۊکۊله کۊکۊره کۊ کۊدن دره","Rooster","Rooster is crowing"
499,"سۊکۊنج","سۊکۊنج سۊتأ کۊنج دره","Triangle","Triangle has three angles"
500,"شأ","چي شأ کۊدن؟","Can","What can be done?"
501,"شؤت","اۊ شؤتأ مرأ فأدن","Brush","Give me the brush"
502,"شؤن","شؤنˇ مؤقه مرأ دۊخان","Go","Call me when it's time to go"
503,"شؤن أمؤن","أمي شؤن أمؤن خۊ جأ سر مأنه","Commute","Our commute will stay like this"
504,"شال","شال دۊتا أمي کرکانأ ببرد","Jackal","The jackal took two of our chickens"
505,"شب","شب دکفته","Night","It's night"
506,"شباند ٚرۊز","نؤرۊزبل ٚ ره شباند ٚرۊز بيداريم","Day and Night","We're awake day and night for Nowruzbal"
507,"شل","چي ره شل شلکأ را شي؟","Limp","Why are you limping?"
508,"شلار","هأی خۊ گبأ شلار دأئي","Drag Out (Something)","He/She was constantly dragging out his/her words"
509,"شلله","مي پلا شلله بؤبؤ","Mushy","My rice got mushy"
510,"شه","أيأ چقد گرمه، شه بزم","Sweat","It's too hot here, I sweat"
511,"شواله","تش شواله کشه","Flame","The fire is flaming"
512,"شيب","شيب بزن","Whistle","Whistle"
513,"شيش","أمان شيش نفر بيم","Six","We were six people"
514,"شيمي","اۊى سفر أمان بامؤئيم أى سفر شيمي نؤبه-يه","Your","We came last time now it's your turn"
515,"شکمدار","شکمدارˇ زناکانأ مأنه","Pregnant","He/She looks like a pregnant woman"
516,"شۊتۊر","شۊتۊر بيابان ٚ مئن زيويسته","Camel","Camel lives in the desert"
517,"شۊرۊم","شۊرۊم بيگيفته","Fog","It's foggy"
518,"شۊماره","سيرۊس قايقرانˇ شۊماره ۹ بۊ","Number","Siroos Ghayeghran's number was 9"
519,"شۊمان","شۊمان بيشيد","You (Plural)","You go"
520,"صؤب","من صؤبان زۊد شم کارˇ سر","Morning","I go to work early in the morning"
521,"صبر","صبر بزه","Sneeze","He/She sneezed"
522,"صۊندؤق","صۊندؤق ٚ دۊرۊن بنأم","Coffer","I put it inside the coffer"
523,"عأيدبيني","ايمسال کؤرؤنا وأسي عأيدبيني نأريم","Visiting People in the Eid","This year we don't visit family in the Eid because of Corona"
524,"عأينک","مي عأينکأ بيدئي؟","Glasses","Have you seen my glasses?"
525,"عار ؤ مۊر","أنˇ عار ؤ مۊر بشکفته","Pride","His/Her pride was hurt"
526,"عارنامۊس","أمي مرأ عارنامۊسي دأره","Being Too Formal","He/She is being too formal with us"
527,"عسکي","کي عسکي بزه؟","Sneeze","Who sneezed?"
528,"عم پسرزا","تي عم پسر زأکه؟","Cousin's Son/Daughter","Is he/she your cousin's son/daughter?"
529,"عمجان","ديرۊ بۊشؤم مي عمجانˇ خانه","Aunt (Father's Sister)","I went to my aunt's house yesterday"
530,"عمجان دؤختر","فردأ مي عمجان دؤختر ٚ خانه ايسائيم","Cousin (Father's Sister's Daughter)","We are at my cousin's house tomorrow"
531,"عمجان پسر","مي عمجان پسر رشت ايسأ","Cousin (Father's Sister's Son)","My cousin is in Rasht"
532,"عنقص","أنˇ کاران عنقص ني-يه","On Purpose","His acts are not on purpose"
533,"عوض","أن همه پۊل فأدأئي اۊنˇ عوض چي فأگيفتي؟","In Return","You spent a lot of money, what did you get in return?"
534,"عوض دکش","أمي پرهنانأ عوض دکش بۊکۊديم","Exchange","We exchanged our shirts"
535,"عيلاج","حسودي-يأ هيچ عيلاج ني-يه","Cure","There's no Cure for jealousy"
536,"عيلاوه","ايتأ دئه عيلاوهˈ کۊن","Add","Add another one"
537,"غۊرصه","غۊرصه خۊردن نوأ","Sad","Don't be sad"
538,"فأدأ","ترأ چي فأدأ؟","Gave","What did he/she gave to you?"
539,"فأده","تي نظر أمي پۊلأ فأده؟","He/She Gives","Do you think he/she gives us our money?"
540,"فأرسه","شانس بأوردم ماسۊ مرأ فأرسه","He/She Helped","I was lucky that Masoo helped me"
541,"فأمستن","أ مؤضۊ فأمستن أنقد سخته؟","Understand","Is this so hard to understand?"
542,"فأندر","مرأ فأندر","Look","look at me"
543,"فأکش","أ لافندأ فأکش","Pull","Pull this rope"
544,"فأکش","دئه مي کله فأکش نأره","Focus","My brain can't focus anymore"
545,"فأکش","من گم وا بدن هأى فأکش دأن دره","Continue","I'm telling him/her to stop but he/she continues"
546,"فؤقا","آهينأ  فؤقا گيلˇ دۊرۊن","Dip","Dip the iron in the mud"
547,"فئلم","أ فئلمأ بيدئي؟","Movie","Have you seen this movie?"
548,"فادار","بۊشۊ تي زاکأ فادار","To Hold Your Baby Over The Toilet","Go and hold your baby over the toilet"
549,"فارسانه","بؤشؤ مأمدأ فارسانه","Give Someone a Ride","He went to give Mohamad a ride"
550,"فاش","فاش دأن دره","Curse","He is cursing"
551,"فال","أ پرهن ته ره فاله","Loose","This shirt is loose for you"
552,"فاکشيم","بيأ أ ميزأ فأکشيم ببريم اۊرأ","Pull","Let's pull this table over there"
553,"فترات","أشان دئه فترات کاشتن دريد","Injustice","They are doing injustice"
554,"فته کۊدن","دئه أمرأ فته کۊدن دره","annoy","He/She is annoying us"
555,"فجه","أيأ چي فجه؟","Spilled","What's spilled here?"
556,"فرخ","أن اۊنˇ مرأ فرخ کۊنه","Different","This is different from that"
557,"فسفاله","چائي فسفالهˈ فيشان","Residue","Throw away the tea residue"
558,"فسک","مي فسکأ بۊرۊز ندي","Secret","Don't reveal my secret"
559,"ففه","ففه خۊري؟","White Liver (Food)","Would you eat white liver?"
560,"فلنگي","چي ره فلنگي؟","Limping","Why are you limping?"
561,"فلگان","سٚفره ٰ فلگان","Shake","Shake the tablecloth"
562,"فيت","أمرأ فيت دأن دره","Provoke","He/She is provoking us"
563,"فيريني","فيريني خۊري؟","Porridge","Would you eat porridge?"
564,"فيشادن","أشان فيشادني-ئيد","Throwing Away","These are thrown away"
565,"فيللي","فيللي تاودن خيابانˇ دۊرۊن خؤرم کار ني-يه","Spit","Spitting in the street is not a good thing"
566,"فيللي","فيللي تاودأ","Spit","He/She spat"
567,"فينگي","چي ره فينگي-يانˇ مأنستن گب زني؟","Snuffle","Why are you snuffling?"
568,"فيچال","فيچال أنˇ آبأ بيگير","Wring","Wring it and take its water"
569,"فچم","أمأن بجار ٚ مئن فچم کار کۊنيم","Bend","We bend over to work in the rice field"
570,"فک","فک بأورده","Misfortune","He/She is misfortunate"
571,"فگيفتم","ايمرۊ حۊقۊق فگيفتم","I Got","I got salary today"
572,"فۊ","فۊ بزن سردأ به بزين بۊخۊر","Blow","Blow it until it's cool and then eat"
573,"فۊبرده","تا کيکأ بأورديم فۊبرده","Swallowed","He/She swallowed the cake as soon as we bring it"
574,"فۊتۊرکسته","شال أمي کرکانأ فۊتۊرکسته","Attacked","Jackal attacked our chickens"
575,"فۊداشتن","کي بۊ فۊداشته؟","Shoot","Who was the one shooting?"
576,"فۊرانه","أنˇ کاران همهˈ فۊرانه","Keeps Away","His/Her behavior keeps everyone away"
577,"فۊندؤق","چنتا فۊندؤق دأري؟","Hazelnut","How many hazelnuts do you have?"
578,"فۊچين","تي چۊمانأ فۊچين بۊخۊس","Close Your Eyes","Close your eyes and sleep"
579,"فۊکۊده","شيرأ فۊکۊده فرشˇ سر","Spill","He/She spilled the milk on the carpet"
580,"فۊکۊن فيشان","أيأ هميشک فۊکۊن فيشانه","Messy","It's always messy here"
581,"فۊگۊردسته","فۊگۊردسته خۊفته","Sleeping On the  Stomach","He/She is sleeping on the stomach"
582,"فۊگۊردسته","أمي خانه ديفار فۊگۊردسته","Knocked Down","The wall of our house was knocked down"
583,"قؤوت","أنˇ دسأ قؤوت دينه","Strength","His hand has no strength"
584,"قاتؤق","ايپچه قاتؤق دۊکۊن کاسه مئن","Stew","Serve some stew in the bowl"
585,"قار","مي مرأ قاره","Angry","He/She is angry with me"
586,"قاق","خبرأ کي بيشتاوستيم قاقأ بؤستيم","Wandering","I was wandering when I heard the news"
587,"قاينا","بيلاخره بتأنستم اۊنأ قاينا بۊکۊنم","Convinced","I could finally convinced him/her"
588,"قيش","مي قيشأ بيدئي؟","Belt","Have you not seen my belt?"
589,"قٚزٚنج","ايپچه پۊل قٚزٚنج بۊکۊدم","Saved (Money)","I saved some money"
590,"قۊشمه مۊ","بۊشۊ تي قۊشمه مۊيأ چأکۊن","Disheveled Hair","Go fix your disheveled hair"
591,"لؤجنک","بۊشۊ لؤجنکأ دود پيچأ نأيه بۊدۊرۊن","Dormer","Go and close the dormer so cat won't come inside"
592,"لؤفٚت","تي پا سر بئس هي کسˇ لؤفٚتأ کشئن نوأ","Stoop to a Favor","Stand on your feet and don't stoop to a favor"
593,"لا","أ کاغذأ بنه تي دفترˇ لا","Between Two Things","Put this paper between your notebook"
594,"لا","هرچي زأمت بکشه-بيمأ لا بۊکۊد","Ruined","He/She ruined all of our hard work"
595,"لابدان","لابدانأ‌ بيگير","Spider","Catch the spider"
596,"لار","أ تۊرف لاره","Hollow","This radish is hollow inside"
597,"لافند","لافندأ کؤيأ بنأئي؟","Rope","Where did you put the rope?"
598,"لانتي","أ لانتيأ بيدين","Snake","Look at this snake"
599,"لانتۊز","چي ره لانتۊز تأوده؟","Kick","Why is he/she kicking?"
600,"لته","اۊ لتهٰ مرأ فأدن ميزأ پأکۊنم","Handkerchief","Give me the handkerchief to clean the table"
601,"لس","غذا خۊردنˇ پسي آدم لسأ به","Flimsy","One become flimsy after eating"
602,"لپه","لپهٰ تأود","Ball","Throw the ball"
603,"لچه","چیچینی دارˇ لچه نیشته","Top (Of Something)","Sparrow is sitting on the top of the tree"
604,"لۊاس","لۊاس دامان ٚ مئن زيويسته","Fox","The fox lives in the jungle"
605,"لۊچ","لۊچي مگه؟","Cross-Eyed","Are you cross-eyed?"
606,"لۊچان","أمرأ لۊچان زنه","Rolling Eyes","He/She rolling his/her eyes at us"
607,"مأر","مي مأر بۊشؤ کار ٚ سر","Mother","My mother has gone to work"
608,"مأرˇ مرد","بعضي-تأ زأکان مأرˇ مرد دأريدي","Stepfather","Some kids have a stepfather"
